,name,price,tdp,date,socket,category,speed,turbo,cpuCount,cores,logicals,rank,samples,extracted_ghz,brand,final_family,model_only,socket_final,category_final,speed_ghz,turbo_ghz,cost_per_rank_point,cost_per_core
4012,AMD EPYC 72F3,5620.12,180.0,2021-12-01,SP3,Server,3700.0,4100.0,2,8,2,93,1,,AMD,AMD EPYC,EPYC 72F3,SP3,Server/Workstation,3.7,4.1,60.431397849462364,702.5
4013,AMD EPYC 7301,2999.96,155.0,2019-04-01,SP3,Server,2200.0,2700.0,2,16,2,145,3,,AMD,AMD EPYC,EPYC 7301,SP3,Server/Workstation,2.2,2.7,20.68937931034483,187.5
4014,AMD EPYC 7302,2249.98,155.0,2020-01-01,SP3,Server,3000.0,3300.0,2,16,2,92,4,,AMD,AMD EPYC,EPYC 7302,SP3,Server/Workstation,3.0,3.3,24.456304347826087,140.6
4015,AMD EPYC 7313,2359.98,155.0,2021-07-01,SP3,Server,3000.0,3700.0,2,16,2,52,2,,AMD,AMD EPYC,EPYC 7313,SP3,Server/Workstation,3.0,3.7,45.38423076923077,147.5
4016,AMD EPYC 7343,3399.98,190.0,2021-06-01,SP3,Server,3200.0,3900.0,2,16,2,35,2,,AMD,AMD EPYC,EPYC 7343,SP3,Server/Workstation,3.2,3.9,97.14228571428572,212.5
4017,AMD EPYC 7351,1798.0,155.0,2019-03-01,SP3,Server,2400.0,2900.0,2,16,2,186,3,,AMD,AMD EPYC,EPYC 7351,SP3,Server/Workstation,2.4,2.9,9.666666666666666,112.4
4018,AMD EPYC 7352,3656.04,155.0,2021-08-01,SP3,Server,2300.0,3200.0,2,24,2,45,1,,AMD,AMD EPYC,EPYC 7352,SP3,Server/Workstation,2.3,3.2,81.24533333333333,152.3
4019,AMD EPYC 73F3,11682.0,240.0,2021-06-01,SP3,Server,3500.0,4000.0,2,16,2,46,1,,AMD,AMD EPYC,EPYC 73F3,SP3,Server/Workstation,3.5,4.0,253.95652173913044,730.1
4020,AMD EPYC 7401,5597.9,155.0,2017-11-01,SP3,Server,2000.0,3000.0,2,24,2,68,4,,AMD,AMD EPYC,EPYC 7401,SP3,Server/Workstation,2.0,3.0,82.3220588235294,233.2
4021,AMD EPYC 7402,4914.0,180.0,2020-05-01,SP3,Server,2800.0,3350.0,2,24,2,57,8,,AMD,AMD EPYC,EPYC 7402,SP3,Server/Workstation,2.8,3.35,86.21052631578948,204.8
4022,AMD EPYC 7413,3995.98,180.0,2021-05-01,SP3,Server,2650.0,3600.0,2,24,2,38,5,,AMD,AMD EPYC,EPYC 7413,SP3,Server/Workstation,2.65,3.6,105.15736842105264,166.5
